step,time,mid_price,reservation_price_as,half_spread_as,u_skew,u_spr,bid,ask,inventory,cash,wealth,lambda_bid,lambda_ask,prob_bid_fill,prob_ask_fill,bid_fill,ask_fill
0,0.0,100.0,,,,,,,0,0.0,0.0,,,,,False,False
1,0.01,100.15009023916129,100.0,1.9531017980432495,-0.0,0.0,98.04689820195675,101.95310179804325,0,0.0,0.0,1.1346675989018853,1.1346675989018853,0.01128254524711303,0.01128254524711303,False,False
2,0.02,99.88965433778883,100.15009023916129,1.9511017980432495,-0.0,0.0,98.19898844111803,102.10119203720454,0,0.0,0.0,1.1369392049485285,1.1369392049485285,0.011305004757502624,0.011305004757502624,False,False
3,0.03,99.88629410628796,99.88965433778883,1.9491017980432495,-0.0,0.0,97.94055253974558,101.83875613583207,0,0.0,0.0,1.1392153587535234,1.1392153587535234,0.011327508720143209,0.011327508720143209,False,False
4,0.04,100.04185249337375,99.88629410628796,1.9471017980432492,-0.0,0.0,97.93919230824471,101.83339590433121,0,0.0,0.0,1.1414960694214564,1.1414960694214564,0.011350057221988785,0.011350057221988785,False,False
5,0.05,100.13535436182416,100.04185249337375,1.9451017980432495,-0.0,0.0,98.0967506953305,101.986954291417,0,0.0,0.0,1.1437813460751889,1.1437813460751889,0.011372650350159441,0.011372650350159441,False,False
6,0.06,99.94357784165835,100.13535436182416,1.9431017980432495,-0.0,0.0,98.19225256378091,102.0784561598674,0,0.0,0.0,1.1460711978558469,1.1460711978558469,0.011395288191942021,0.011395288191942021,False,False
7,0.07,99.9066053689493,99.94357784165835,1.9411017980432494,-0.0,0.0,98.0024760436151,101.8846796397016,0,0.0,0.0,1.1483656339228083,1.1483656339228083,0.011417970834789015,0.011417970834789015,False,False
8,0.08,99.87569947253554,99.9066053689493,1.9391017980432492,-0.0,0.0,97.96750357090605,101.84570716699255,0,0.0,0.0,1.1506646634538364,1.1506646634538364,0.011440698366320667,0.011440698366320667,False,False
9,0.09,99.98216130964622,99.87569947253554,1.9371017980432494,-0.0,0.0,97.9385976744923,101.81280127057879,0,0.0,0.0,1.1529682956450689,1.1529682956450689,0.011463470874324089,0.011463470874324089,False,False
10,0.1,100.06832551024779,99.98216130964622,1.9351017980432494,-0.0,0.0,98.04705951160297,101.91726310768946,0,0.0,0.0,1.155276539711005,1.155276539711005,0.01148628844675359,0.01148628844675359,False,False
11,0.11,99.96587696443348,100.06832551024779,1.9331017980432494,-0.0,0.0,98.13522371220454,102.00142730829104,0,0.0,0.0,1.1575894048846402,1.1575894048846402,0.01150915117173168,0.01150915117173168,False,False
12,0.12,100.19167142297765,99.96587696443348,1.9311017980432492,-0.0,0.0,98.03477516639023,101.89697876247672,0,0.0,0.0,1.159906900417455,1.159906900417455,0.011532059137549067,0.011532059137549067,False,False
13,0.13,100.0267751798394,100.19167142297765,1.9291017980432494,-0.0,0.0,98.2625696249344,102.1207732210209,0,0.0,0.0,1.1622290355794014,1.1622290355794014,0.011555012432664102,0.011555012432664102,False,False
14,0.14,100.13540603350044,100.0267751798394,1.9271017980432494,-0.0,0.0,98.09967338179615,101.95387697788266,0,0.0,0.0,1.1645558196590398,1.1645558196590398,0.011578011145704559,0.011578011145704559,False,False
15,0.15,100.1587431953286,100.13540603350044,1.9251017980432494,-0.0,0.0,98.2103042354572,102.06050783154369,0,0.0,0.0,1.166887261963526,1.166887261963526,0.011601055365467072,0.011601055365467072,False,False
16,0.16,100.20346230508353,100.1587431953286,1.9231017980432492,-0.0,0.0,98.23564139728535,102.08184499337185,0,0.0,0.0,1.1692233718185996,1.1692233718185996,0.011624145180917367,0.011624145180917367,False,False
17,0.17,100.26128618482153,100.20346230508353,1.9211017980432494,-0.0,0.0,98.28236050704028,102.12456410312679,-1,102.12456410312679,1.8632779183052577,1.1715641585687193,1.1715641585687193,0.011647280681190919,0.011647280681190919,False,True
18,0.18,100.19735194155007,102.19328618482153,1.9191017980432494,0.2,0.1,100.37418438677828,104.41238798286479,-1,102.12456410312679,1.927212161576719,8.0,0.12597645477425742,0.07688365361336424,0.0012589713774888711,False,False
19,0.19,100.14232349130474,102.12535194155006,1.9171017980432494,0.2,0.1,100.30825014350683,104.34245373959331,-1,102.12456410312679,1.98224061182205,8.0,0.126734585621054,0.07688365361336424,0.0012665431126046567,False,False
20,0.2,100.33597916222303,102.06632349130474,1.9151017980432492,0.2,0.1,100.2512216932615,104.281425289348,-1,102.12456410312679,1.7885849409037604,8.0,0.1274972789266167,0.07688365361336424,0.0012741603567726356,False,False
21,0.21,100.36852977524403,102.25597916222303,1.9131017980432494,0.2,0.1,100.44287736417978,104.46908096026628,-1,102.12456410312679,1.7560343278827588,8.0,0.12826456214799226,0.07688365361336424,0.0012818233831691783,False,False
22,0.22,100.52719922228401,102.28452977524402,1.9111017980432494,0.2,0.1,100.47342797720077,104.49563157328728,-1,102.12456410312679,1.5973648808427754,8.0,0.12903646290745777,0.07688365361336424,0.0012895324666061247,False,False
23,0.23,100.69879439853544,102.43919922228402,1.9091017980432494,0.2,0.1,100.63009742424077,104.64830102032727,0,1.4944666788860133,1.4944666788860133,8.0,0.12981300899352388,0.07688365361336424,0.0012972878835406654,True,False
24,0.24,100.47213695573474,100.69879439853544,1.9071017980432492,-0.0,0.0,98.7916926004922,102.60589619657868,0,1.4944666788860133,1.4944666788860133,1.1880814077521216,1.1880814077521216,0.011810515881298334,0.011810515881298334,False,False
25,0.25,100.50062210294885,100.47213695573474,1.9051017980432494,-0.0,0.0,98.56703515769149,102.37723875377799,0,1.4944666788860133,1.4944666788860133,1.1904599483153366,1.1904599483153366,0.01183402008948986,0.01183402008948986,False,False
26,0.26,100.5323300411642,100.50062210294885,1.9031017980432494,-0.0,0.0,98.5975203049056,102.4037239009921,0,1.4944666788860133,1.4944666788860133,1.1928432507199322,1.1928432507199322,0.011857570792407013,0.011857570792407013,False,False
27,0.27,100.62368508867569,100.5323300411642,1.9011017980432494,-0.0,0.0,98.63122824312096,102.43343183920744,0,1.4944666788860133,1.4944666788860133,1.1952313244991382,1.1952313244991382,0.011881168080898785,0.011881168080898785,False,False
28,0.28,100.54733750987602,100.62368508867569,1.8991017980432496,-0.0,0.0,98.72458329063244,102.52278688671893,0,1.4944666788860133,1.4944666788860133,1.1976241792052187,1.1976241792052187,0.011904812045985924,0.011904812045985924,False,False
29,0.29,100.45345704183548,100.54733750987602,1.8971017980432494,-0.0,0.0,98.65023571183276,102.44443930791927,0,1.4944666788860133,1.4944666788860133,1.200021824409613,1.200021824409613,0.011928502778863814,0.011928502778863814,False,False
30,0.3,100.54276327704147,100.45345704183548,1.8951017980432494,-0.0,0.0,98.55835524379224,102.34855883987872,0,1.4944666788860133,1.4944666788860133,1.202424269702922,1.202424269702922,0.011952240370900813,0.011952240370900813,False,False
31,0.31,100.45810361463265,100.54276327704147,1.8931017980432494,-0.0,0.0,98.64966147899823,102.43586507508472,0,1.4944666788860133,1.4944666788860133,1.204831524694896,1.204831524694896,0.011976024913639138,0.011976024913639138,False,False
32,0.32,100.16868112014804,100.45810361463265,1.8911017980432496,-0.0,0.0,98.5670018165894,102.3492054126759,0,1.4944666788860133,1.4944666788860133,1.2072435990145751,1.2072435990145751,0.011999856498795536,0.011999856498795536,False,False
33,0.33,100.24863596549272,100.16868112014804,1.8891017980432494,-0.0,0.0,98.27957932210478,102.0577829181913,0,1.4944666788860133,1.4944666788860133,1.2096605023102598,1.2096605023102598,0.012023735218261278,0.012023735218261278,False,False
34,0.34,100.50848162504994,100.24863596549272,1.8871017980432494,-0.0,0.0,98.36153416744948,102.13573776353597,0,1.4944666788860133,1.4944666788860133,1.212082244249584,1.212082244249584,0.012047661164102608,0.012047661164102608,False,False
35,0.35000000000000003,100.32175808904796,100.50848162504994,1.8851017980432494,-0.0,0.0,98.62337982700669,102.39358342309319,0,1.4944666788860133,1.4944666788860133,1.214508834519484,1.214508834519484,0.012071634428560407,0.012071634428560407,False,False
36,0.36,100.25395147386784,100.32175808904796,1.8831017980432496,-0.0,0.0,98.4386562910047,102.20485988709122,0,1.4944666788860133,1.4944666788860133,1.2169402828263416,1.2169402828263416,0.01209565510405175,0.01209565510405175,False,False
37,0.37,100.34083620257701,100.25395147386784,1.8811017980432494,-0.0,0.0,98.3728496758246,102.13505327191109,0,1.4944666788860133,1.4944666788860133,1.2193765988959702,1.2193765988959702,0.012119723283169348,0.012119723283169348,False,False
38,0.38,100.05162463169931,100.34083620257701,1.8791017980432494,-0.0,0.0,98.46173440453376,102.21993800062026,0,1.4944666788860133,1.4944666788860133,1.221817792473603,1.221817792473603,0.01214383905868166,0.01214383905868166,False,False
39,0.39,100.09815987397025,100.05162463169931,1.8771017980432494,-0.0,0.0,98.17452283365606,101.92872642974257,0,1.4944666788860133,1.4944666788860133,1.2242638733240345,1.2242638733240345,0.012168002523534116,0.012168002523534116,False,False
40,0.4,100.05028874847564,100.09815987397025,1.8751017980432496,-0.0,0.0,98.223058075927,101.97326167201349,0,1.4944666788860133,1.4944666788860133,1.2267148512316093,1.2267148512316093,0.012192213770848781,0.012192213770848781,False,False
41,0.41000000000000003,100.09428808527,100.05028874847564,1.8731017980432494,-0.0,0.0,98.17718695043239,101.92339054651889,0,1.4944666788860133,1.4944666788860133,1.2291707360002073,1.2291707360002073,0.01221647289392458,0.01221647289392458,False,False
42,0.42,100.1656622970999,100.09428808527,1.8711017980432494,-0.0,0.0,98.22318628722674,101.96538988331325,0,1.4944666788860133,1.4944666788860133,1.231631537453388,1.231631537453388,0.01224077998623796,0.01224077998623796,False,False
43,0.43,100.03771199054995,100.1656622970999,1.8691017980432494,-0.0,0.0,98.29656049905665,102.03476409514315,0,1.4944666788860133,1.4944666788860133,1.2340972654343783,1.2340972654343783,0.012265135141443562,0.012265135141443562,False,False
44,0.44,99.76237476103869,100.03771199054995,1.8671017980432496,-0.0,0.0,98.1706101925067,101.9048137885932,0,1.4944666788860133,1.4944666788860133,1.2365679298060583,1.2365679298060583,0.012289538453372995,0.012289538453372995,False,False
45,0.45,99.46821350213816,99.76237476103869,1.8651017980432494,-0.0,0.0,97.89727296299543,101.62747655908194,0,1.4944666788860133,1.4944666788860133,1.2390435404511062,1.2390435404511062,0.01231399001603739,0.01231399001603739,False,False
46,0.46,99.63583881571704,99.46821350213816,1.8631017980432494,-0.0,0.0,97.60511170409491,101.3313153001814,0,1.4944666788860133,1.4944666788860133,1.2415241072719856,1.2415241072719856,0.012338489923625962,0.012338489923625962,False,False
