step,time,mid_price,reservation_price_as,half_spread_as,reservation_price_sc,half_spread_sc,drawdown,u_skew,u_spr,bid,ask,inventory,cash,wealth,lambda_bid,lambda_ask,prob_bid_fill,prob_ask_fill,bid_fill,ask_fill
15,0.15,100.1587431953286,100.13540603350044,1.9251017980432494,100.13540603350044,1.9251017980432494,0.0,-0.0,0.0,98.2103042354572,102.06050783154369,0,0.0,0.0,1.166887261963526,1.166887261963526,0.011601055365467072,0.011601055365467072,False,False
16,0.16,100.20346230508353,100.1587431953286,1.9231017980432492,100.1587431953286,1.9231017980432492,0.0,-0.0,0.0,98.23564139728535,102.08184499337185,0,0.0,0.0,1.1692233718185996,1.1692233718185996,0.011624145180917367,0.011624145180917367,False,False
17,0.17,100.26128618482153,100.20346230508353,1.9211017980432494,100.20346230508353,1.9211017980432494,0.0,-0.0,0.0,98.28236050704028,102.12456410312679,-1,102.12456410312679,1.8632779183052577,1.1715641585687193,1.1715641585687193,0.011647280681190919,0.011647280681190919,False,True
18,0.18,100.19735194155007,102.19328618482153,1.9191017980432494,102.39328618482153,2.0191017980432493,0.0,0.2,0.1,100.37418438677828,104.41238798286479,-1,102.12456410312679,1.927212161576719,8.0,0.12597645477425742,0.07688365361336424,0.0012589713774888711,False,False
19,0.19,100.14232349130474,102.12535194155006,1.9171017980432494,102.32535194155007,2.0171017980432495,0.0,0.2,0.1,100.30825014350683,104.34245373959331,-1,102.12456410312679,1.98224061182205,8.0,0.126734585621054,0.07688365361336424,0.0012665431126046567,False,False
20,0.2,100.33597916222303,102.06632349130474,1.9151017980432492,102.26632349130475,2.0151017980432493,0.0,0.2,0.1,100.2512216932615,104.281425289348,-1,102.12456410312679,1.7885849409037604,8.0,0.1274972789266167,0.07688365361336424,0.0012741603567726356,False,False
21,0.21,100.36852977524403,102.25597916222303,1.9131017980432494,102.45597916222303,2.0169749114616153,0.1936556709182895,0.2,0.10387311341836579,100.43900425076141,104.47295407368465,-1,102.12456410312679,1.7560343278827588,8.0,0.12776873975922914,0.07688365361336424,0.0012768715025726074,False,False
22,0.22,100.52719922228401,102.28452977524402,1.9111017980432494,102.48452977524403,2.0156259237220353,0.2262062839392911,0.2,0.10452412567878583,100.46890385152199,104.50015569896607,-1,102.12456410312679,1.5973648808427754,8.0,0.1284540042835931,0.07688365361336424,0.001283715374419403,False,False
23,0.23,100.69879439853544,102.43919922228402,1.9091017980432494,102.63919922228402,2.016799312662835,0.3848757309792745,0.2,0.1076975146195855,100.62239990962118,104.65599853494686,0,1.5021641935056067,1.5021641935056067,8.0,0.1288176074329492,0.07688365361336424,0.0012873467316816267,True,False
24,0.24,100.47213695573474,100.69879439853544,1.9071017980432492,100.69879439853544,1.916703326409578,0.4800764183164432,-0.0,0.009601528366328865,98.78209107212587,102.61549772494502,0,1.5021641935056067,1.5021641935056067,1.1767285997851396,1.1767285997851396,0.011698322258373639,0.011698322258373639,False,False
25,0.25,100.50062210294885,100.47213695573474,1.9051017980432494,100.47213695573474,1.9147033264095783,0.4800764183164432,-0.0,0.009601528366328865,98.55743362932516,102.38684028214432,0,1.5021641935056067,1.5021641935056067,1.1790844120116601,1.1790844120116601,0.01172160451588855,0.01172160451588855,False,False
26,0.26,100.5323300411642,100.50062210294885,1.9031017980432494,100.50062210294885,1.9127033264095783,0.4800764183164432,-0.0,0.009601528366328865,98.58791877653927,102.41332542935844,0,1.5021641935056067,1.5021641935056067,1.1814449405774008,1.1814449405774008,0.011744932834386046,0.011744932834386046,False,False
27,0.27,100.62368508867569,100.5323300411642,1.9011017980432494,100.5323300411642,1.9107033264095783,0.4800764183164432,-0.0,0.009601528366328865,98.62162671475463,102.44303336757378,0,1.5021641935056067,1.5021641935056067,1.1838101949244961,1.1838101949244961,0.01176830730388867,0.01176830730388867,False,False
28,0.28,100.54733750987602,100.62368508867569,1.8991017980432496,100.62368508867569,1.9087033264095785,0.4800764183164432,-0.0,0.009601528366328865,98.7149817622661,102.53238841508526,0,1.5021641935056067,1.5021641935056067,1.1861801845139324,1.1861801845139324,0.01179172801458983,0.01179172801458983,False,False
