step,time,mid_price,reservation_price,half_spread,bid,ask,inventory,cash,wealth,lambda_bid,lambda_ask,prob_bid_fill,prob_ask_fill,bid_fill,ask_fill
36,0.36,100.25395147386784,100.32175808904796,4.883101798043249,95.43865629100472,105.2048598870912,0,0.0,0.0,0.06058788906068361,0.06058788906068361,0.0006056953830547718,0.0006056953830547718,False,False
37,0.37,100.34083620257701,100.25395147386784,4.881101798043249,95.3728496758246,105.13505327191109,0,0.0,0.0,0.060709186095407076,0.060709186095407076,0.0006069076179763266,0.0006069076179763266,False,False
38,0.38,100.05162463169931,100.34083620257701,4.87910179804325,95.46173440453376,105.21993800062026,0,0.0,0.0,0.060830725966955865,0.060830725966955865,0.0006081222783188567,0.0006081222783188567,False,False
39,0.39,100.09815987397025,100.05162463169931,4.87710179804325,95.17452283365606,104.92872642974257,0,0.0,0.0,0.06095250916148963,0.06095250916148963,0.0006093393689323712,0.0006093393689323712,False,False
40,0.4,100.05028874847564,100.09815987397025,4.875101798043249,95.223058075927,104.97326167201349,0,0.0,0.0,0.06107453616614218,0.06107453616614218,0.0006105588946762053,0.0006105588946762053,False,False
41,0.41000000000000003,100.09428808527,100.05028874847564,4.873101798043249,95.17718695043239,104.92339054651889,0,0.0,0.0,0.06119680746901996,0.06119680746901996,0.0006117808604196862,0.0006117808604196862,False,False
42,0.42,100.1656622970999,100.09428808527,4.87110179804325,95.22318628722674,104.96538988331325,0,0.0,0.0,0.06131932355920921,0.06131932355920921,0.0006130052710414668,0.0006130052710414668,False,False
43,0.43,100.03771199054995,100.1656622970999,4.869101798043249,95.29656049905665,105.03476409514315,0,0.0,0.0,0.061442084926775324,0.061442084926775324,0.0006142321314304144,0.0006142321314304144,False,False
44,0.44,99.76237476103869,100.03771199054995,4.867101798043249,95.1706101925067,104.9048137885932,0,0.0,0.0,0.0615650920627622,0.0615650920627622,0.0006154614464849439,0.0006154614464849439,False,False
45,0.45,99.46821350213816,99.76237476103869,4.865101798043249,94.89727296299543,104.62747655908194,0,0.0,0.0,0.06168834545919941,0.06168834545919941,0.0006166932211130183,0.0006166932211130183,False,False
46,0.46,99.63583881571704,99.46821350213816,4.86310179804325,94.60511170409491,104.3313153001814,0,0.0,0.0,0.06181184560910159,0.06181184560910159,0.0006179274602328144,0.0006179274602328144,False,False
47,0.47000000000000003,99.71872070237224,99.63583881571704,4.861101798043249,94.77473701767379,104.49694061376029,0,0.0,0.0,0.06193559300646774,0.06193559300646774,0.0006191641687721683,0.0006191641687721683,False,False
48,0.48,99.772262994841,99.71872070237224,4.85910179804325,94.85961890432898,104.5778225004155,0,0.0,0.0,0.0620595881462885,0.0620595881462885,0.0006204033516686858,0.0006204033516686858,False,False
49,0.49,99.64984363502904,99.772262994841,4.857101798043249,94.91516119679775,104.62936479288425,0,0.0,0.0,0.06218383152454547,0.06218383152454547,0.0006216450138697427,0.0006216450138697427,False,False
50,0.5,99.68125334851811,99.64984363502904,4.85510179804325,94.79474183698579,104.5049454330723,0,0.0,0.0,0.062308323638210567,0.062308323638210567,0.000622889160332929,0.000622889160332929,False,False
51,0.51,99.34631675957723,99.68125334851811,4.85310179804325,94.82815155047486,104.53435514656137,0,0.0,0.0,0.06243306498525329,0.06243306498525329,0.0006241357960254934,0.0006241357960254934,False,False
52,0.52,99.40245411296752,99.34631675957723,4.851101798043249,94.49521496153399,104.19741855762048,0,0.0,0.0,0.0625580560646401,0.0625580560646401,0.0006253849259246769,0.0006253849259246769,False,False
53,0.53,99.59900201517213,99.40245411296752,4.849101798043249,94.55335231492427,104.25155591101077,0,0.0,0.0,0.06268329737633367,0.06268329737633367,0.0006266365550176012,0.0006266365550176012,False,False
54,0.54,99.40597866272566,99.59900201517213,4.84710179804325,94.75190021712888,104.44610381321539,0,0.0,0.0,0.06280878942130033,0.06280878942130033,0.0006278906883012692,0.0006278906883012692,False,False
55,0.55,99.24170132688079,99.40597866272566,4.84510179804325,94.56087686468241,104.2510804607689,0,0.0,0.0,0.06293453270150932,0.06293453270150932,0.0006291473307830087,0.0006291473307830087,False,False
56,0.56,99.42801592945564,99.24170132688079,4.843101798043249,94.39859952883754,104.08480312492404,0,0.0,0.0,0.06306052771993213,0.06306052771993213,0.0006304064874796955,0.0006304064874796955,False,False
57,0.5700000000000001,99.41986342422855,99.42801592945564,4.841101798043249,94.58691413141239,104.2691177274989,0,0.0,0.0,0.0631867749805499,0.0631867749805499,0.0006316681634185306,0.0006316681634185306,False,False
58,0.58,99.32886672816039,99.41986342422855,4.83910179804325,94.5807616261853,104.2589652222718,0,0.0,0.0,0.06331327498835275,0.06331327498835275,0.0006329323636365958,0.0006329323636365958,False,False
59,0.59,99.36338431170482,99.32886672816039,4.83710179804325,94.49176493011714,104.16596852620364,0,0.0,0.0,0.06344002824933906,0.06344002824933906,0.000634199093181298,0.000634199093181298,False,False
60,0.6,99.33965664648284,99.36338431170482,4.835101798043249,94.52828251366157,104.19848610974807,0,0.0,0.0,0.06356703527052296,0.06356703527052296,0.0006354683571097031,0.0006354683571097031,False,False
61,0.61,99.38353314675561,99.33965664648284,4.833101798043249,94.50655484843959,104.17275844452608,0,0.0,0.0,0.06369429655993358,0.06369429655993358,0.000636740160489313,0.000636740160489313,False,False
62,0.62,99.46928443444793,99.38353314675561,4.83110179804325,94.55243134871236,104.21463494479886,0,0.0,0.0,0.06382181262661449,0.06382181262661449,0.0006380145083976219,0.0006380145083976219,False,False
