time,mid_price,inventory,cash,wealth,drawdown,reservation_price_as,half_spread_as,reservation_price_sc,half_spread_sc,u_skew,u_spr,bid,ask,bid_fill,ask_fill,reward
0.01,100.15009023916129,0,0.0,0.0,0.0,100.0,4.9531017980432495,100.5,4.9531017980432495,0.5,0.0,95.54689820195675,105.45310179804325,False,False,-0.0025
0.02,99.88965433778883,0,0.0,0.0,0.0,100.15009023916129,4.951101798043249,100.65009023916129,4.951101798043249,0.5,0.0,95.69898844111803,105.60119203720454,False,False,-0.0025
0.03,99.88629410628796,0,0.0,0.0,0.0,99.88965433778883,4.94910179804325,100.38965433778883,4.94910179804325,0.5,0.0,95.44055253974558,105.33875613583207,False,False,-0.0025
0.04,100.04185249337375,0,0.0,0.0,0.0,99.88629410628796,4.947101798043249,100.38629410628796,4.947101798043249,0.5,0.0,95.43919230824471,105.33339590433121,False,False,-0.0025
0.05,100.13535436182416,0,0.0,0.0,0.0,100.04185249337375,4.9451017980432495,100.54185249337375,4.9451017980432495,0.5,0.0,95.5967506953305,105.486954291417,False,False,-0.0025
0.06,99.94357784165835,0,0.0,0.0,0.0,100.13535436182416,4.94310179804325,100.63535436182416,4.94310179804325,0.5,0.0,95.69225256378091,105.5784561598674,False,False,-0.0025
0.07,99.9066053689493,0,0.0,0.0,0.0,99.94357784165835,4.94110179804325,100.44357784165835,4.94110179804325,0.5,0.0,95.5024760436151,105.3846796397016,False,False,-0.0025
0.08,99.87569947253554,0,0.0,0.0,0.0,99.9066053689493,4.939101798043249,100.4066053689493,4.939101798043249,0.5,0.0,95.46750357090605,105.34570716699255,False,False,-0.0025
0.09,99.98216130964622,0,0.0,0.0,0.0,99.87569947253554,4.9371017980432494,100.37569947253554,4.9371017980432494,0.5,0.0,95.4385976744923,105.31280127057879,False,False,-0.0025
0.1,100.06832551024779,0,0.0,0.0,0.0,99.98216130964622,4.93510179804325,100.48216130964622,4.93510179804325,0.5,0.0,95.54705951160297,105.41726310768946,False,False,-0.0025
0.11,99.96587696443348,0,0.0,0.0,0.0,100.06832551024779,4.933101798043249,100.56832551024779,4.933101798043249,0.5,0.0,95.63522371220454,105.50142730829104,False,False,-0.0025
0.12,100.19167142297765,0,0.0,0.0,0.0,99.96587696443348,4.931101798043249,100.46587696443348,4.931101798043249,0.5,0.0,95.53477516639023,105.39697876247672,False,False,-0.0025
0.13,100.0267751798394,0,0.0,0.0,0.0,100.19167142297765,4.929101798043249,100.69167142297765,4.929101798043249,0.5,0.0,95.7625696249344,105.6207732210209,False,False,-0.0025
0.14,100.13540603350044,0,0.0,0.0,0.0,100.0267751798394,4.92710179804325,100.5267751798394,4.92710179804325,0.5,0.0,95.59967338179615,105.45387697788266,False,False,-0.0025
0.15,100.1587431953286,0,0.0,0.0,0.0,100.13540603350044,4.925101798043249,100.63540603350044,4.925101798043249,0.5,0.0,95.7103042354572,105.56050783154369,False,False,-0.0025
0.16,100.20346230508353,0,0.0,0.0,0.0,100.1587431953286,4.92310179804325,100.6587431953286,4.92310179804325,0.5,0.0,95.73564139728535,105.58184499337185,False,False,-0.0025
0.17,100.26128618482153,0,0.0,0.0,0.0,100.20346230508353,4.921101798043249,100.70346230508353,4.921101798043249,0.5,0.0,95.78236050704028,105.62456410312679,False,False,-0.0025
0.18,100.19735194155007,0,0.0,0.0,0.0,100.26128618482153,4.919101798043249,100.76128618482153,4.919101798043249,0.5,0.0,95.84218438677829,105.68038798286477,False,False,-0.0025
0.19,100.14232349130474,0,0.0,0.0,0.0,100.19735194155007,4.91710179804325,100.69735194155007,4.91710179804325,0.5,0.0,95.78025014350682,105.61445373959332,False,False,-0.0025
0.2,100.33597916222303,0,0.0,0.0,0.0,100.14232349130474,4.915101798043249,100.64232349130474,4.915101798043249,0.5,0.0,95.72722169326148,105.55742528934799,False,False,-0.0025
0.21,100.36852977524403,0,0.0,0.0,0.0,100.33597916222303,4.913101798043249,100.83597916222303,4.913101798043249,0.5,0.0,95.92287736417978,105.74908096026627,False,False,-0.0025
0.22,100.52719922228401,0,0.0,0.0,0.0,100.36852977524403,4.91110179804325,100.86852977524403,4.91110179804325,0.5,0.0,95.95742797720078,105.77963157328728,False,False,-0.0025
0.23,100.69879439853544,0,0.0,0.0,0.0,100.52719922228401,4.90910179804325,101.02719922228401,4.90910179804325,0.5,0.0,96.11809742424076,105.93630102032726,False,False,-0.0025
