final_wealth,mean_step_pnl,std_step_pnl,sharpe_like,max_drawdown,mean_drawdown,final_inventory,mean_inventory,mean_abs_inventory,inventory_std,max_inventory,min_inventory,num_bid_fills,num_ask_fills,total_fills,fill_imbalance,step_pnl_p05,step_pnl_p01,bid_change_std,ask_change_std,spread_change_std,seed
21.596783428479554,0.0431073521526538,0.3112808545242568,0.13848378891916768,1.0124473914107597,0.23560430665831594,0,-0.0998003992015968,0.31137724550898205,0.5744736374106651,2,-1,10,10,20,0,-0.2164854394776512,-0.36034838954942927,0.28381479914931607,0.28381469056203196,0.0002524767533418563,42
15.499110139044902,0.030936347582923955,0.2856383146768583,0.10830601496096152,3.25714630093357,0.5986761767385749,1,0.17964071856287425,0.4471057884231537,0.64472061442045,1,-1,11,10,21,1,-0.24565216487036423,-0.38732089956282323,0.34576001468937256,0.34576015811943933,0.0002524767533418563,43
33.86340166863451,0.06759162009707487,0.31442755860444355,0.21496722614537608,1.7289470931710298,0.2786753488472578,-2,0.11976047904191617,0.6706586826347305,0.9620960152266353,2,-2,12,14,26,2,-0.23594959850566966,-0.4249494429796812,0.30913124935990083,0.30913068170164976,0.0002524767533418563,44
25.578252263270798,0.05105439573507145,0.3429234742417647,0.1488798509574433,3.472671151568562,0.7410263261667738,-2,-0.7784431137724551,0.8343313373253493,0.6487020666357439,1,-3,10,12,22,2,-0.32654442186012034,-0.5351717441595838,0.29827172872328056,0.29827219923051396,0.0002524767533418563,45
16.898733363620522,0.03373000671381342,0.33049986971081236,0.10205754920032237,3.5788229686428963,0.6688832291754842,4,0.5049900199600799,0.5728542914171657,0.8639878760145883,5,-1,14,10,24,4,-0.28616242190953756,-0.5900210475647043,0.2787956887946989,0.2787968674164621,0.0002524767533418563,46
32.570263636855316,0.06501050626118826,0.3456888580790248,0.18806075099515862,3.217969165905231,0.1328246101308109,2,0.3912175648702595,0.5748502994011976,0.9373594372335825,3,-1,12,10,22,2,-0.2409152604417102,-0.5184884218265893,0.30594085586091707,0.3059404769650301,0.0002524767533418563,47
22.06603235351122,0.04404397675351541,0.3136856144299121,0.14040802232330582,3.647973633030091,0.3902376012178612,2,0.3153692614770459,0.5389221556886228,0.8076777286599236,2,-1,13,11,24,2,-0.29507081538596935,-0.5828215078357744,0.3212346767847636,0.32123438896928375,0.0002524767533418563,48
17.530995691773285,0.034992007368808954,0.28673932219368364,0.12203421247208951,2.073136282340684,0.24139557849243543,0,-0.15768463073852296,0.3213572854291417,0.6075243438277296,1,-2,10,10,20,0,-0.23003316575415056,-0.3973435939982721,0.26206534341904586,0.26206459943207727,0.0002524767533418563,49
28.486376876975868,0.056859035682586566,0.32593611919116544,0.17444840364275066,3.03692993147412,0.5164119883572034,-1,-0.17165668662674652,0.590818363273453,0.8523350572985952,1,-2,15,16,31,1,-0.28627571468095425,-0.4989826640816091,0.33340297919758877,0.3334024127328633,0.0002524767533418563,50
30.339839241583718,0.060558561360446544,0.30767654680496487,0.19682540638574442,3.5591997723572604,0.28875934637931755,-1,-0.05389221556886228,0.5688622754491018,0.9460918667652107,1,-3,12,13,25,1,-0.23208373078325906,-0.4680084744118176,0.3176314741152017,0.3176307548060115,0.0002524767533418563,51
