metric,welch_ttest_pvalue,mannwhitney_pvalue,binary_test_pvalue
final_wealth,0.007519356328164605,0.023101602728119626,
sharpe_like,0.00012383228720207396,0.00013128196714172057,
mean_abs_inventory,1.7887512200467394e-19,6.566856859845033e-19,
max_drawdown,5.3402940512020894e-08,2.104808356925977e-09,
steps_survived,0.0001371443982263769,3.125348946961275e-06,
barrier_hit_rate,,,3.554181812734084e-07
