model,n_runs,mean_final_wealth,std_final_wealth,mean_sharpe_like,final_wealth_p05,mean_abs_inventory,mean_inventory_std,mean_max_drawdown,mean_mean_drawdown,mean_fill_imbalance,mean_total_fills,barrier_hit_rate,survival_rate,mean_steps_survived
AS_regime_barrier,50,16.60119650262938,10.91287140141033,0.10935428753319876,-5.916647736609375,0.8492024972503356,1.0117940298889552,4.6981312223687945,0.6041955518586964,1.8,22.84,0.28,0.72,412.54
SCMM_v4_full,50,18.348220557362804,10.548217503779584,0.12461803558349359,-5.415232767837794,0.7304080052621857,0.91415566751385,4.164891076500046,0.571735378199981,1.26,23.9,0.14,0.86,447.08
SCMM_v4_no_gating,50,18.080353517819876,10.855988787186872,0.12261553503457984,-5.4098724070817035,0.7300135090834405,0.9124670752926515,4.2413791966966485,0.5725015719380313,1.26,23.62,0.16,0.84,442.32
SCMM_v4_no_drawdown,50,18.038124658043866,10.74272404788566,0.12275460741483965,-5.4662519107404215,0.7305862274979174,0.9175437682194958,4.212928067075017,0.5844874627889574,1.26,23.78,0.16,0.84,444.94
SCMM_v4_no_vol,50,17.8106364953927,10.746383323932394,0.11987245463962512,-5.885226525658015,0.7388012495989298,0.9043316664735502,4.232720266183044,0.5803048415248606,1.26,24.06,0.16,0.84,441.62
SCMM_v4_no_time_urgency,50,17.505164221288837,10.609389656950803,0.11730888281103535,-5.383398587337816,0.7709854950193421,0.947396619595983,4.435651034241436,0.5931615141049501,1.5,22.98,0.2,0.8,431.92
