final_wealth,mean_step_pnl,std_step_pnl,sharpe_like,max_drawdown,mean_drawdown,final_inventory,mean_inventory,mean_abs_inventory,inventory_std,max_inventory,min_inventory,num_bid_fills,num_ask_fills,total_fills,fill_imbalance,step_pnl_p05,step_pnl_p01,bid_change_std,ask_change_std,spread_change_std,barrier_hit,survived,steps_survived
17.938075508412112,0.035876151016824225,0.25440083420274695,0.14102214377210492,1.7668125497399956,0.13742984308313574,2,0.154,0.426,0.7638395785789103,2,-2,13,11,24,2,-0.1216823150488338,-0.28762775328353796,0.5871738048869959,0.751726384699495,0.7446583848793784,0,1,500
-2.695918509874545,-0.02695918509874545,0.9800507041049494,-0.027507949319151754,10.116348376865474,0.17462412935155697,-1,-0.55,0.55,0.8211226608993473,0,-2,3,4,7,1,-0.17809062527886538,-0.5281781148524888,0.9192527212413041,1.5141152856839757,0.5991569599583608,1,0,100
23.95666335321026,0.04791332670642052,0.25704241495463864,0.18640241422680995,2.1230294478575047,0.14506439325525353,0,-0.288,0.472,0.6464454993014757,1,-2,12,12,24,0,-0.15907583361040523,-0.467455265365854,0.34573282363277585,0.5360484047963799,0.5135167874650118,0,1,500
28.642193854752065,0.05728438770950413,0.3664581715767506,0.15631903489249996,4.350620510339212,0.5702365966264192,3,0.324,0.648,0.8581940305012474,3,-2,19,16,35,3,-0.19723915474148868,-0.4332056990891044,0.9928997580691743,0.7854375186089305,0.815625348358882,0,1,500
18.548557768251072,0.03709711553650214,0.2751439404055576,0.13482803030910578,4.263982405506113,1.2164690278021446,1,0.768,0.98,0.9486706235062872,2,-1,14,13,27,1,-0.22393830545376048,-0.6337954523168972,0.8811344094789166,0.6158518719115844,0.6104382512512971,0,1,500
11.223027086697968,0.022446054173395937,0.24364514658523537,0.09212600574192606,2.999220642740056,0.5897631742031987,-1,0.544,0.668,0.9218261913474298,3,-1,8,9,17,1,-0.174162029170796,-0.4869999136967754,1.1517816327413182,0.8917393509460506,0.8873630158931687,0,1,500
25.343307128006558,0.05068661425601312,0.3123357123563755,0.1622824808391342,3.3034032311527426,0.6238319743450813,0,0.258,0.618,0.7954252968102103,2,-1,15,15,30,0,-0.18878643821081054,-0.6977175198124155,0.80573814181146,0.5491970483273406,0.5492684440817078,0,1,500
26.011767183795158,0.052023534367590316,0.28860338694849635,0.18025961135616916,1.751519605599185,0.31792553091397485,1,0.456,0.712,0.9369202950510557,2,-1,13,12,25,1,-0.2003280264161418,-0.5760376179203754,0.6205094747929527,0.5991342935010846,0.6614236379160219,0,1,500
3.2452237226430043,0.008257566724282454,0.3653272420443425,0.02260320549338494,6.1830277222168775,1.2989594594567528,2,0.1450381679389313,0.3791348600508906,0.6752414995563926,3,-1,11,9,20,2,-0.31616286276636457,-1.0634054521257224,1.065203987504813,0.8958863294842203,1.0003988856257895,1,0,393
19.65989070945102,0.039319781418902036,0.3795050384856558,0.10360806163653767,2.895800852842754,0.6111220128155985,-4,-0.07,1.026,1.446819468056154,2,-4,10,14,24,4,-0.228362739181923,-0.6885362642828837,1.0578289412667177,0.6251765492415502,0.8601481992860689,0,1,500
