seed,event,time
42,0,500
43,1,100
44,0,500
45,0,500
46,0,500
47,0,500
48,0,500
49,0,500
50,0,500
51,0,500
52,0,500
53,1,128
54,0,500
55,0,500
56,1,201
57,1,67
58,0,500
59,0,500
60,0,500
61,0,500
62,0,500
63,0,500
64,0,500
65,0,500
66,0,500
67,0,500
68,0,500
69,1,126
70,0,500
71,0,500
72,0,500
73,1,157
74,0,500
75,1,75
76,0,500
77,0,500
78,0,500
79,0,500
80,0,500
81,0,500
82,0,500
83,0,500
84,0,500
85,0,500
86,0,500
87,0,500
88,0,500
89,0,500
90,0,500
91,0,500
92,1,85
93,0,500
94,0,500
95,0,500
96,1,121
97,1,446
98,0,500
99,0,500
100,0,500
101,0,500
102,1,396
103,0,500
104,1,102
105,0,500
106,1,163
107,0,500
108,1,165
109,1,264
110,1,352
111,0,500
112,0,500
113,1,273
114,1,378
115,0,500
116,1,52
117,0,500
118,1,42
119,0,500
120,0,500
121,0,500
122,1,264
123,0,500
124,0,500
125,1,138
126,0,500
127,0,500
128,0,500
129,0,500
130,0,500
131,0,500
132,0,500
133,0,500
134,0,500
135,0,500
136,1,228
137,1,412
138,0,500
139,1,228
140,0,500
141,0,500
142,0,500
143,1,385
144,0,500
145,0,500
146,0,500
147,0,500
148,1,300
149,0,500
150,0,500
151,0,500
152,0,500
153,0,500
154,0,500
155,0,500
156,0,500
157,0,500
158,0,500
159,0,500
160,0,500
161,0,500
162,0,500
163,0,500
164,1,286
165,0,500
166,0,500
167,0,500
168,0,500
169,0,500
170,0,500
171,0,500
172,0,500
173,0,500
174,0,500
175,0,500
176,0,500
177,0,500
178,0,500
179,0,500
180,1,163
181,1,108
182,0,500
183,0,500
184,0,500
185,0,500
186,0,500
187,0,500
188,1,158
189,0,500
190,1,202
191,1,192
192,0,500
193,1,159
194,0,500
195,1,85
196,0,500
197,0,500
198,1,83
199,0,500
200,0,500
201,0,500
202,0,500
203,0,500
204,0,500
205,1,482
206,0,500
207,0,500
208,0,500
209,0,500
210,0,500
211,0,500
212,1,177
213,0,500
214,1,39
215,1,101
216,0,500
217,0,500
218,0,500
219,1,250
220,0,500
221,0,500
222,0,500
223,1,145
224,0,500
225,1,208
226,0,500
227,0,500
228,0,500
229,0,500
230,0,500
231,0,500
232,1,355
233,0,500
234,0,500
235,0,500
236,1,146
237,0,500
238,0,500
239,0,500
240,1,76
241,0,500
242,0,500
243,0,500
244,1,184
245,0,500
246,1,301
247,0,500
248,1,173
249,0,500
250,0,500
251,1,83
252,0,500
253,0,500
254,0,500
255,0,500
256,0,500
257,0,500
258,0,500
259,0,500
260,0,500
261,0,500
262,0,500
263,1,204
264,0,500
265,0,500
266,1,47
267,0,500
268,1,93
269,0,500
270,0,500
271,0,500
272,0,500
273,0,500
274,0,500
275,0,500
276,1,152
277,1,260
278,0,500
279,0,500
280,0,500
281,1,320
282,0,500
283,0,500
284,0,500
285,0,500
286,0,500
287,1,166
288,0,500
289,0,500
290,0,500
291,0,500
292,0,500
293,0,500
294,0,500
295,0,500
296,0,500
297,0,500
298,1,279
299,0,500
300,0,500
301,0,500
302,0,500
303,0,500
304,0,500
305,0,500
306,1,424
307,1,75
308,0,500
309,0,500
310,0,500
311,1,365
312,0,500
313,1,267
314,0,500
