final_wealth,mean_step_pnl,std_step_pnl,sharpe_like,max_drawdown,mean_drawdown,final_inventory,mean_inventory,mean_abs_inventory,inventory_std,max_inventory,min_inventory,num_bid_fills,num_ask_fills,total_fills,fill_imbalance,step_pnl_p05,step_pnl_p01,bid_change_std,ask_change_std,spread_change_std,barrier_hit,survived,steps_survived
16.83696858024203,0.033606723713057944,0.26156456259349786,0.12848347413620503,1.7668125497399956,0.518470104292137,2,-0.04790419161676647,0.5349301397205589,0.8773258224869452,2,-3,14,12,26,2,-0.161093699501194,-0.39056310600963684,0.6136285044153547,1.042344615269117,0.7545099447706752,0,1,500
-2.9103515794017056,-0.028815362172294114,0.9570916778816146,-0.030107212128353978,10.011724731321422,0.1693223710073697,-1,-0.5445544554455446,0.5445544554455446,0.8188376209633693,0,-2,3,4,7,1,-0.14162391941374608,-0.4414424372439214,0.9165839101493367,1.513732070866339,0.5999731543669139,1,0,100
27.419115567047697,0.054728773586921554,0.27326509843643815,0.20027721761713113,2.1230294478575047,0.1972706938829374,-1,-0.5069860279441117,0.5828343313373253,0.7003221385936554,1,-2,13,14,27,1,-0.17871673973229463,-0.46728588329187914,0.35902413082345463,0.5769867638204392,0.522663107431593,0,1,500
28.350104384400197,0.056587034699401594,0.37654945960661534,0.1502778274024568,4.285229170724975,0.6231377184912549,3,0.0499001996007984,0.6127744510978044,0.9074717571472735,3,-2,19,16,35,3,-0.15576439191927705,-0.3930031936552041,0.9669087096004555,0.8292549870648936,0.8266026283782305,0,1,500
18.279726568772148,0.03648648017718992,0.2500404833529796,0.14592229101371718,3.293186948343987,0.7775186643846527,0,0.47704590818363274,0.7445109780439122,0.8888037218015143,2,-1,13,13,26,0,-0.19391512136704137,-0.344268849453087,0.8540244740075438,0.8211868634615394,0.6208767702823663,0,1,500
10.812994075849616,0.02158282250668586,0.24182021322246378,0.08925152376216532,2.999220642740056,0.619663944722071,-1,0.5429141716566867,0.6666666666666666,0.9212245603644978,3,-1,8,9,17,1,-0.17386001822031005,-0.48501909050770564,1.139879623946198,0.8884725281115256,0.8977410076582508,0,1,500
25.199944352685378,0.050299290125120515,0.3343128044009994,0.1504557691563539,4.0482809393416375,0.8766383592652848,0,-0.013972055888223553,0.7524950099800399,0.9989015923591096,2,-2,15,15,30,0,-0.188342204460767,-0.6433392005605043,0.7513963657250137,0.6460805031081184,0.5569338042270683,0,1,500
23.369867580763938,0.046646442276973926,0.29143676222990955,0.1600568230304977,2.656766996356481,0.504189181090027,1,0.041916167664670656,0.6047904191616766,0.8296020256472881,1,-2,13,12,25,1,-0.2107369920602764,-0.5775991095022306,0.4991373278169785,0.7423454134586946,0.6711192429947767,0,1,500
11.10484941229717,0.022165368088417507,0.2910535046558457,0.07615564744547794,4.351247583566121,1.3272166891298036,2,0.10578842315369262,0.38922155688622756,0.6251291283772565,2,-1,14,12,26,2,-0.21684703929116722,-0.8499154741655417,0.866338953386999,0.7938978796246282,0.8990188859685457,0,1,500
13.54636480144427,0.027038652298291957,0.35446229742237095,0.07628075678242559,3.2689161875554333,0.804363359068197,-4,-0.3313373253493014,1.029940119760479,1.4233748655867267,1,-4,8,12,20,4,-0.22801502822969155,-0.6600126304904848,0.9273174610062794,0.6338421678831243,0.8670961142838203,0,1,500
