final_wealth,mean_step_pnl,std_step_pnl,sharpe_like,max_drawdown,mean_drawdown,final_inventory,mean_inventory,mean_abs_inventory,inventory_std,max_inventory,min_inventory,num_bid_fills,num_ask_fills,total_fills,fill_imbalance,step_pnl_p05,step_pnl_p01,bid_change_std,ask_change_std,spread_change_std,seed
19.590819569030216,0.03910343227351341,0.2762060904373943,0.1415733889555022,1.0124473914107597,0.32595103242224077,0,-0.1317365269461078,0.2754491017964072,0.5085378829970425,1,-1,10,10,20,0,-0.17903699639433057,-0.3437590006099782,0.32424390303083594,0.3277821760656078,0.016439072557354252,42
16.95470986209658,0.03384173625168978,0.27880698547431443,0.12138051775853416,2.0583270726051808,0.40353398794960144,0,0.1277445109780439,0.3273453093812375,0.5582550515622858,1,-1,11,11,22,0,-0.21085196548555984,-0.34126777285301557,0.3998192241338052,0.39974340471919806,0.01660359468757394,43
28.32159888895582,0.05653013750290583,0.29184148424321876,0.19370151453725573,1.7289470931710298,0.2345903656958096,0,0.10179640718562874,0.38922155688622756,0.6321524867206219,2,-1,14,14,28,0,-0.16321493111531993,-0.37061358296298863,0.3747173963106219,0.3659538511322651,0.019331101004290287,44
25.223096965523453,0.05034550292519651,0.2831473111020748,0.17780674917611744,1.2750752045545113,0.2849464308983206,-1,-0.3273453093812375,0.4031936127744511,0.5767414832686774,1,-2,12,13,25,1,-0.18156734416135123,-0.3955751272573593,0.35962407237049765,0.3668805510879126,0.018163623719968082,45
14.02763504209986,0.027999271541117483,0.306965929322296,0.09121296165617357,3.5788229686428963,0.6584161824135405,2,0.27345309381237526,0.34530938123752497,0.6380233947869068,3,-1,12,10,22,2,-0.2622494104272448,-0.47570847936896143,0.31887743631664417,0.31893888889464855,0.016559680518020856,46
26.59022913835561,0.05307430965739643,0.28972250593368487,0.18319015116264914,2.36250188395654,0.21728447987968016,0,0.2375249500998004,0.42115768463073855,0.6367645262388973,2,-1,11,11,22,0,-0.20338560295051877,-0.3634051217909615,0.35519374532722053,0.35338367360379874,0.017504472239122524,47
19.560588882789403,0.03904309158241398,0.29862104351324875,0.13074460903004323,3.647973633030091,0.43428225986634444,1,0.17964071856287425,0.39520958083832336,0.7068696277664521,2,-1,13,12,25,1,-0.24606083688915703,-0.5375499820243306,0.3728699219744446,0.36868557691221215,0.018773301031864913,48
19.69062901475708,0.03930265272406602,0.2739312033768225,0.1434763628218631,1.5052591176696382,0.2772517052608341,-1,-0.24550898203592814,0.3253493013972056,0.5230724523612017,1,-2,11,12,23,1,-0.21511516164933653,-0.38563530111221667,0.30595463694293396,0.31004065881713233,0.01715271497151128,49
27.17678562486114,0.054245081087547185,0.32799580077118096,0.16538346210482338,2.035420780777656,0.4030858961606763,-1,-0.18762475049900199,0.3912175648702595,0.6698705448862396,1,-2,16,17,33,1,-0.24644900338307707,-0.4101975651612406,0.3968228791375783,0.3993090178007812,0.02018693881106502,50
24.288062974182864,0.04847916761313945,0.2681612798703467,0.18078362258860736,2.483823294635215,0.24194066664571415,0,0.06986027944111776,0.3812375249500998,0.6427361670538867,1,-2,11,11,22,0,-0.15892931003793365,-0.41039564935761064,0.3530723763943316,0.34674196630622633,0.017563617753624403,51
