time,survival
0,1.0
15,0.999
20,0.998
21,0.997
27,0.996
33,0.995
34,0.994
35,0.992
36,0.991
38,0.989
39,0.988
42,0.985
45,0.984
47,0.982
48,0.981
49,0.98
50,0.979
52,0.977
55,0.976
56,0.975
58,0.974
59,0.972
60,0.971
61,0.969
64,0.968
67,0.967
68,0.965
70,0.964
71,0.962
72,0.96
74,0.959
75,0.956
76,0.954
77,0.953
78,0.952
81,0.951
82,0.95
83,0.945
84,0.943
85,0.941
86,0.938
91,0.9369999999999999
92,0.9359999999999999
93,0.9329999999999999
94,0.9319999999999999
95,0.9299999999999999
96,0.9289999999999999
100,0.9269999999999999
101,0.9259999999999999
102,0.9249999999999999
104,0.9239999999999999
105,0.9219999999999999
106,0.9199999999999999
107,0.9169999999999999
108,0.9159999999999999
109,0.9139999999999999
110,0.9129999999999999
111,0.9099999999999999
114,0.9089999999999999
118,0.9079999999999999
121,0.9069999999999999
123,0.9049999999999999
126,0.9039999999999999
128,0.9029999999999999
129,0.9019999999999999
130,0.9009999999999999
133,0.8999999999999999
134,0.8989999999999999
135,0.8969999999999999
137,0.8949999999999999
138,0.8919999999999999
141,0.8909999999999999
144,0.8889999999999999
145,0.8859999999999999
147,0.8849999999999999
148,0.8819999999999999
149,0.8799999999999999
152,0.8769999999999999
153,0.8759999999999999
154,0.8739999999999999
155,0.8729999999999999
156,0.8719999999999999
157,0.8709999999999999
158,0.8689999999999999
159,0.8679999999999999
160,0.8649999999999999
161,0.8639999999999999
163,0.8609999999999999
164,0.8599999999999999
165,0.8589999999999999
166,0.8579999999999999
167,0.8559999999999999
169,0.8539999999999999
170,0.8519999999999999
172,0.8509999999999999
173,0.8499999999999999
174,0.8479999999999999
175,0.8459999999999999
178,0.8449999999999999
179,0.8429999999999999
181,0.8409999999999999
182,0.8399999999999999
184,0.8369999999999999
185,0.8359999999999999
186,0.8339999999999999
188,0.8329999999999999
191,0.8319999999999999
192,0.8289999999999998
194,0.8279999999999998
197,0.8259999999999998
199,0.8249999999999998
202,0.8229999999999998
204,0.8219999999999998
205,0.8209999999999998
206,0.8189999999999998
207,0.8169999999999998
208,0.8149999999999998
211,0.8139999999999998
213,0.8119999999999998
214,0.8109999999999998
218,0.8099999999999998
219,0.8079999999999998
221,0.8059999999999998
222,0.8049999999999998
223,0.8039999999999998
225,0.8019999999999998
226,0.7979999999999998
228,0.7949999999999998
229,0.7939999999999998
230,0.7929999999999998
231,0.7919999999999998
232,0.7909999999999998
234,0.7879999999999998
238,0.7869999999999998
242,0.7839999999999998
243,0.7829999999999998
245,0.7809999999999998
247,0.7799999999999998
248,0.7789999999999998
249,0.7779999999999998
250,0.7769999999999998
251,0.7759999999999998
252,0.7739999999999998
254,0.7729999999999998
256,0.7699999999999998
259,0.7689999999999998
260,0.7679999999999998
262,0.7669999999999998
263,0.7659999999999998
264,0.7629999999999998
265,0.7619999999999998
267,0.7599999999999998
273,0.7569999999999998
274,0.7559999999999998
275,0.7549999999999998
276,0.7539999999999998
278,0.7529999999999998
280,0.7499999999999998
281,0.7479999999999998
283,0.7459999999999998
286,0.7439999999999998
288,0.7419999999999998
289,0.7409999999999998
291,0.7399999999999998
292,0.7389999999999998
295,0.7379999999999998
298,0.7359999999999998
299,0.7339999999999998
301,0.7309999999999998
304,0.7299999999999998
305,0.7289999999999998
308,0.7279999999999998
312,0.7259999999999998
313,0.7239999999999998
316,0.7219999999999998
318,0.7209999999999998
319,0.7199999999999998
326,0.7189999999999998
332,0.7179999999999997
334,0.7159999999999997
340,0.7149999999999997
346,0.7139999999999997
347,0.7129999999999997
352,0.7119999999999997
355,0.7099999999999997
358,0.7089999999999997
365,0.7079999999999997
368,0.7069999999999997
372,0.7059999999999997
376,0.7049999999999997
378,0.7039999999999997
381,0.7029999999999997
383,0.7019999999999997
384,0.6999999999999997
385,0.6979999999999997
387,0.6969999999999997
388,0.6959999999999997
390,0.6949999999999997
398,0.6929999999999997
402,0.6919999999999997
403,0.6909999999999997
405,0.6879999999999997
406,0.6859999999999997
408,0.6849999999999997
414,0.6829999999999997
415,0.6819999999999997
417,0.6809999999999997
421,0.6799999999999997
424,0.6789999999999997
425,0.6779999999999997
427,0.6769999999999997
428,0.6759999999999997
429,0.6749999999999997
437,0.6729999999999997
438,0.6709999999999997
441,0.6699999999999997
443,0.6689999999999997
446,0.6679999999999997
447,0.6669999999999997
452,0.6659999999999997
455,0.6649999999999997
456,0.6639999999999997
460,0.6629999999999997
461,0.6619999999999997
474,0.6609999999999997
475,0.6599999999999997
479,0.6589999999999997
484,0.6569999999999997
486,0.6559999999999997
488,0.6539999999999997
491,0.6529999999999997
492,0.6519999999999997
495,0.6509999999999997
498,0.6499999999999997
500,0.6489999999999997
