run,barrier_hit,survived,steps_survived,final_wealth
0,0,1,500,16.83696858024203
1,1,0,100,-2.9103515794017056
2,0,1,500,27.419115567047697
3,0,1,500,28.350104384400197
4,0,1,500,18.279726568772148
5,0,1,500,10.812994075849616
6,0,1,500,25.199944352685378
7,0,1,500,23.369867580763938
8,0,1,500,11.10484941229717
9,0,1,500,13.54636480144427
10,0,1,500,19.604383837615188
11,1,0,128,7.402592173736295
12,0,1,500,29.279467880008156
13,0,1,500,20.58705950261421
14,1,0,201,-5.580880524389727
15,1,0,67,-6.2386245132608025
16,0,1,500,20.588189334227096
17,0,1,500,16.289110974967258
18,0,1,500,17.5064044388443
19,0,1,500,17.26864589697307
20,0,1,500,27.2597112823955
21,0,1,500,14.077251905714945
22,0,1,500,14.655489023128553
23,0,1,500,11.800647830842848
24,0,1,500,28.438298913626767
25,0,1,500,23.964448641668753
26,0,1,500,20.137216671876956
27,1,0,126,-6.6468431798558925
28,0,1,500,22.94845447578848
29,0,1,500,24.40967123650185
30,0,1,500,25.87666836014074
31,1,0,157,1.5703245818176157
32,0,1,500,25.867399582316168
33,1,0,75,-5.212774398718764
34,0,1,500,17.478710296102335
35,0,1,500,18.894271705760644
36,0,1,500,16.983715837215115
37,0,1,500,29.855170356862374
38,0,1,500,36.28963248342204
39,0,1,500,20.225175595977817
40,0,1,500,17.94291170326015
41,0,1,500,36.72239222683908
42,0,1,500,30.43210848435143
43,0,1,500,15.219193942792302
44,0,1,500,27.918993836064033
45,0,1,500,27.245377055620082
46,0,1,500,18.169788345320285
47,0,1,500,15.002334514757763
48,0,1,500,28.093673208248248
49,0,1,500,23.07568060286617
50,1,0,85,-8.449691026036007
51,0,1,500,7.465803954901077
52,0,1,500,13.181427732189448
53,0,1,500,24.66181836397385
54,1,0,121,-0.21030144650217153
55,1,0,446,7.447600188769769
56,0,1,500,28.799892186407646
57,0,1,500,27.275652387298706
58,0,1,500,24.59760630420149
59,0,1,500,3.7622999805451514
